 cookie=0x0, duration=50.004s, table=0, n_packets=6, n_bytes=360, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=11472,tp_dst=80 actions=drop
 cookie=0x0, duration=50.004s, table=0, n_packets=9, n_bytes=540, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=49.997s, table=0, n_packets=5, n_bytes=480, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=621,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:01:27:f0,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=33132 actions=drop
 cookie=0x0, duration=49.991s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:21:28:38:cc:c6,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.977s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=632,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:02:55:53:a0:10,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1605,tp_dst=50371 actions=drop
 cookie=0x0, duration=49.973s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:11:43:36:c1:58,dl_dst=00:14:4f:17:13:e2,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.965s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1239,tp_dst=80 actions=drop
 cookie=0x0, duration=49.958s, table=0, n_packets=5, n_bytes=480, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43438 actions=drop
 cookie=0x0, duration=49.958s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43439 actions=drop
 cookie=0x0, duration=49.958s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43440 actions=drop
 cookie=0x0, duration=49.958s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43441 actions=drop
 cookie=0x0, duration=49.958s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43442 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:47:ac:28,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:47:ad:64,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:a1:c5:39,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:a3:25:b9,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:13:72:50:00:ea,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:35:28:59,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:05:1e:35:23:27,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=3, n_bytes=180, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:82:f7:ba,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=3, n_bytes=180, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:6c,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:18:ab:39,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:18:ce:70,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.948s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=621,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:01:27:f0,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=6607,tp_dst=80 actions=drop
 cookie=0x0, duration=49.938s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=48,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:5e:b7:15:21,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1593,tp_dst=2671 actions=drop
 cookie=0x0, duration=49.930s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:21:28:3f:d3:8e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.921s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:0f:07:a2,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.911s, table=0, n_packets=3, n_bytes=222, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=38002,tp_dst=80 actions=drop
 cookie=0x0, duration=49.902s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:4f:1e:e8:53,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.881s, table=0, n_packets=23, n_bytes=2017, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:23,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1686,tp_dst=1521 actions=drop
 cookie=0x0, duration=49.881s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=15390,tp_dst=80 actions=drop
 cookie=0x0, duration=49.873s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=37314,tp_dst=80 actions=drop
 cookie=0x0, duration=49.869s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:14:4f:17:00:0a,dl_dst=00:a0:b8:47:ad:64,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=drop
 cookie=0x0, duration=49.869s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:47:ad:64,dl_dst=00:14:4f:17:00:0a,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.839s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:4f:1e:e8:54,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=49.833s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=224,dl_vlan_pcp=0,dl_src=00:14:5e:b7:3b:b4,dl_dst=00:19:2f:58:be:63,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=23,tp_dst=2093 actions=drop
 cookie=0x0, duration=49.833s, table=0, n_packets=3, n_bytes=222, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=11631,tp_dst=80 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=3, n_bytes=281, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43443,tp_dst=53 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=3, n_bytes=288, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43443 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43444,tp_dst=53 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43444 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43445,tp_dst=53 actions=drop
 cookie=0x0, duration=49.823s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43445 actions=drop
 cookie=0x0, duration=49.809s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=15390 actions=drop
 cookie=0x0, duration=49.806s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0e,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=443,tp_dst=1225 actions=drop
 cookie=0x0, duration=49.796s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=49, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:21:28:38:cc:c6,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=drop
 cookie=0x0, duration=49.789s, table=0, n_packets=1, n_bytes=91, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:1b:0c:38:f1:0e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=40950,tp_dst=443 actions=drop
 cookie=0x0, duration=49.789s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0e,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=443,tp_dst=40950 actions=drop
 cookie=0x0, duration=49.789s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=37314 actions=drop
 cookie=0x0, duration=49.778s, table=0, n_packets=8, n_bytes=618, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=622,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:22:1d:43:d4,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=60262,tp_dst=443 actions=drop
 cookie=0x0, duration=49.778s, table=0, n_packets=2, n_bytes=126, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=48,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:5e:b7:15:21,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1133,tp_dst=23 actions=drop
 cookie=0x0, duration=49.773s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=48,dl_vlan_pcp=0,dl_src=00:14:5e:b7:15:21,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=23,tp_dst=1133 actions=drop
 cookie=0x0, duration=49.766s, table=0, n_packets=2, n_bytes=166, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=622,dl_vlan_pcp=0,dl_src=00:14:22:1d:43:d4,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=443,tp_dst=60262 actions=drop
